,Index,Name,Description,Example
95,95,Vaccine Hesitancy,"Concerns about vaccine safety, efficacy, and accessibility.",ACAM2000 is a rather unpleasant medical procedure...not far removed from the old-school smallpox vaccine.
96,96,Global Health Concern,Reports on Mpox being declared a global health emergency and its potential spread.,"Monkeypox was declared a global health emergency by the World Health Organization on July 23 as there have been over 16,000 reported cases spanning 75 countries."
97,97,Vulnerability of LGBTQ+ Community,Discussion around Mpox being primarily a threat to the gay community and its spread through close contact.,"Although I am declaring a public health emergency of international concern for the moment, this is an outbreak that is concentrated among men who have sex with men, especially those with multiple sexual partners,"
98,98,Symptom Disclosure,"Sharing personal experiences with Mpox symptoms on social media, often graphic and explicit.",Jackson showed a blister on the right side of his bottom lip and said 'what appeared to be strep throat towards the back of his mouth.'
99,99,Personal Account,"Individuals sharing their personal stories and experiences with Mpox, often with a sense of vulnerability.",Jackson said 'I’m in the hospital now. I’m trying to figure out what’s going on.'
100,100,Public Health Emergency,Declaration of a public health emergency to mobilize resources and actions.,"In light of all of these developments and the evolving circumstances on the ground, I want to make an announcement today that I will be declaring a public health emergency,"
101,101,Vaccine Distribution,Access to vaccines and treatments for affected communities.,This public health emergency will allow us to explore additional strategies to get vaccines and treatments more quickly out to the impacted communities
102,102,Government Power Grab,Assertions of government authority and control in response to the outbreak.,Authoritarian politicians and bureaucrats are having a tough time giving up the dictatorial powers afforded them by the Great COVID Powergrab
103,103,Vaccine Distribution Challenges,"Discussion about issues related to vaccine supply, allocation, and administration.","Demand is far outpacing supply, with long lines and clinics having to close when they run out of vaccines."
104,104,Stigma Concerns,Fears of stigmatization and villainization of affected communities.,"The outbreak appears to mostly affect gay and bisexual men, which carries the risk of villainizing these populations similar to how Asian Americans were targeted at the height of the COVID-19 pandemic."
105,105,Public Awareness,Lack of awareness and concern among the general public.,"A May survey found that only 11 percent of respondents were following updates regarding monkeypox very closely, while 56 percent said they weren't following the news very closely — if at all."
106,106,Sex worker exclusion,Articles discussing the exclusion or marginalization of sex workers in vaccine distribution and access policies.,"The CDC has a list of recommendations for who should get vaccinated, including anyone recently exposed, people with multiple sexual partners... But there's no explicit mention of sex work."
107,107,Vaccine accessibility,"Articles discussing the difficulties or barriers to accessing monkeypox vaccines, such as limited supply, eligibility requirements, and bureaucratic processes.","Making the entire process more confusing, each state—and sometimes, individual counties within a single state—have different criteria for who is and isn’t eligible for a vaccine."
108,108,Stigma and shame,Articles discussing the impact of stigma and shame on sex workers' ability to access healthcare and protect themselves from monkeypox.,"As a sex worker, I am more than familiar with the negative stigma surrounding sex work in our society and the common biases held against us,"
109,109,Risk to Vulnerable Groups,"The potential impact of Mpox on children, women, and other vulnerable populations.",Some cases in the United States have been reported in women and children...
110,110,Sexual Transmission Frame,The emphasis on sexual transmission as a primary mode of Mpox spread.,but the virus has been predominantly found in gay and bisexual men and other men who have sex with men
111,111,Government Response Criticized,"Criticism towards government's handling of the Mpox outbreak, including delays and lack of preparedness.",Cohen first addressed the situation by saying the government has had an “abysmal” response to the situation thus far...
112,112,LGBTQ+ Community Targeted,"The article highlights how the Mpox outbreak is disproportionately affecting the LGBTQ+ community, and the need for sensitive language and messaging.",“Because this is affecting us at much higher rates than others right now.”
113,113,Precautionary Measures Urged,"The importance of taking precautions, such as getting vaccinated and practicing safe sex, to prevent the spread of Mpox.","“Be aware, get vaccinated if you can, and please I know it’s summer we all have ‘Covid fatigue,” but please be safe and don’t take unnecessary risks.”"
114,114,Transmission Concerns,Fear of spread and potential transmission of monkeypox through skin-to-skin contact.,The monkeypox virus spreads through prolonged skin-to-skin contact.
115,115,Vaccine Access Inequality,Disparities in vaccine access due to limited availability and eligibility criteria.,"It’s complete bullshit. I don’t understand why we gotta do all this stuff to do one thing,” said Robinson, a Black man, after receiving his first of two recommended vaccine doses on Saturday."
116,116,Privilege and Resources,"People with more resources (time, internet access, devices) have an advantage in accessing the limited vaccine appointments.","I was able to get it super easy. No problem at all. Took me maybe three minutes to do the whole thing,” said Steven Harris, 39, who is white and was able to get the appointment while working from home."
117,117,Healthcare System Inequity,The existing healthcare system exacerbates health inequalities by limiting access to vaccine information and appointments for marginalized communities.,"I had to do the research. I don’t see the information readily available. It was just by word of mouth,” said Colson, adding that the overall process has been “messy”."
118,118,EUA Authorization,Emergency use authorization issued by FDA for JYNNEOS vaccine.,The FDA expects the authorization would increase the total number of doses available for use by up to five-fold.
119,119,Vaccine Administration,Methods and routes of administering JYNNEOS vaccine.,"Now, healthcare providers can use the vaccine in adults by intradermal injection..."
120,120,Public Response,Government response to monkeypox outbreak and allocation of vaccines.,HHS had allocated 1.1 million doses to states and jurisdictions in total and was making more doses available as jurisdictions use their current supply.
121,121,Misinformation Spread,The rapid dissemination of false or misleading information about Mpox.,"While monkeypox isn't a new disease, certain aspects of this outbreak set it apart from previous cases. The spread of misinformation can be dangerous in bigger outbreaks like the 2022 monkeypox outbreak."
122,122,Risk Misconception,"The misconception that only a specific group (e.g., gay men) is at risk for Mpox.","While it's true that the majority of people getting sick with monkeypox right now are men who have sex with men, anyone can get monkeypox regardless of sexual orientation..."
123,123,Transmission Myth,"The misconception about how Mpox is transmitted (e.g., easily through casual contact).","Unlike a respiratory virus that spreads relatively easily in a room full of people who aren't touching each other, monkeypox requires close physical contact to spread."
124,124,Skin Damage Prevention,Preventative measures to avoid scarring and skin damage from Mpox.,"Rieder's best advice is to take measures to avoid getting pox infections in the first place, which may involve looking into a vaccine."
125,125,Post-Exposure Treatment,Steps taken after exposure to Mpox to mitigate symptoms and prevent scarring.,Rieder suggested that those who are immunocompromised or in high-risk groups get immediate medical attention and ask about postexposure vaccination or treatments.
126,126,Scar Minimization,Methods to reduce scarring after Mpox lesions have healed.,"Silicone sheeting is a great option to reduce scarring, which can cause textural changes and discoloration."
127,127,Rapid Transmission,High rate of monkeypox infection spread through skin-to-skin contact.,"British health officials say the monkeypox outbreak across the country “shows signs of slowing” but that it’s still too soon to know if the decline will be maintained. In a statement on Monday, Aug. 15 the Health Security Agency said authorities are reporting about 29 new monkeypox infections every day,"
128,128,Age-Specific Concerns,"Risk of infection varies by age group, particularly in children and young adults.",Florida’s first pediatric case of monkeypox has been confirmed in Martin County but a state official said Tuesday that the Florida Department of Health is not concerned about the virus spreading among school-aged children
129,129,CDC Inconsistency,Contradiction between CDC recommendations and data on Mpox spread.,The precautions the CDC suggested do not line up with what the data shows about the spread of the illness.
130,130,Risk Misallocation,Prioritizing surface transmission over actual causes of Mpox infection.,Masking only protects the wrong part of the body.
131,131,Targeted Infection Group,Highlighting the disproportionately affected demographic in Mpox cases.,98 percent of those infected were gay or bisexual men
132,132,Public Health Reorganization,Call for reorganization or reform within public health agencies to address emerging issues.,"Dr. Rochelle Walensky, director of the Centers for Disease Control and Prevention, called for a reorganization to the public-health agency."
133,133,Climate Change Impact,Discussion on how climate change contributes to increased risk of disease outbreaks.,Research suggests that climate change and shifting land-use patterns could create a higher risk of viruses jumping from animals to humans.
134,134,Viral Transmission,Code indicating reports of how Mpox is transmitted or spread.,Additional information on how the students may have contracted or been exposed to the virus is unavailable at this time...
135,135,Viral Hoax,"A deliberate creation or spread of false information on social media, often for entertainment or marketing purposes.",Cali took to social media with a time lapse video showing a makeup artist creating the wild look and assuring fans nobody was ever in any danger.
136,136,Marketing Scheme,"A promotional strategy used by Cali, involving unconventional methods such as fake monkeypox symptoms to market his music.","Cali explained the viral video was a part of a marketing scheme for his latest music, calling it a 'promo gone wrong'."
137,137,Blurred Reality,"The difficulty in distinguishing between reality and fiction on social media, leading to confusion and misinterpretation.",Cali stated he has 'unique and unconventional marketing methods' and often tries to come up with an interesting scheme based on the themes in the song he's about to release.
138,138,Cause Investigation,Exploring the possible causes of Mpox-related deaths or severe illnesses.,Health officials were investigating how monkeypox may have contributed to the person's death.
139,139,Vaccine Recommendations,"Discussing vaccination strategies for exposed individuals, particularly those with weakened immune systems or at high risk of contraction.",Public health officials are recommending vaccination for people who have been exposed to monkeypox and people who may be more likely to contract the virus.
140,140,Financial Motivation,"Claim of financial gain driving PHEIC declaration, linking to Big Pharma interests.","Mercola suggests the WHO director-general's decision was financially motivated, arguing that monkeypox could be a 'future profit maker' for the pharmaceutical industry."
141,141,Lab Creation Theory,Unsubstantiated claim of monkeypox virus being created in a lab.,"Mercola claims that the monkeypox virus was 'created at the Wuhan Institute of Virology,' citing no evidence to support this assertion."
142,142,Vaccine Skepticism,Questioning the safety and efficacy of monkeypox vaccines.,"Mercola argues that monkeypox vaccination is unwise, stating there's 'no telling whether the vaccine will have any benefit at all,' despite existing data showing some level of protection."
143,143,Misconception Risk,Public misunderstanding of Mpox risks and characteristics.,Americans have a fundamental misunderstanding of the risks associated with monkeypox...
144,144,Sexual Transmission Focus,Emphasis on sexual transmission as primary mode of Mpox spread.,The virus is primarily transmitted sexually and scientists are debating whether or not to classify it as an STD formally.
145,145,Fear of Contagion,"Concerns about contracting Mpox through various means, including sex, casual contact, and contaminated surfaces.",Many respondents reported reducing their number of sexual partners and avoiding crowded spaces due to fear of contagion.
146,146,Disrupted Social Life,"The impact of Mpox on social connections, relationships, and community cohesion among queer individuals.","Respondents spoke about missed opportunities, cancelled plans, and feelings of isolation due to the outbreak."
147,147,Racial Disparities,"The disproportionate affectation of Mpox on communities of color, particularly Black and Latino queer individuals.",Health advocates highlighted structural factors that hinder access to vaccines for marginalized groups.
148,148,Behavioral Change,Individuals changing their behavior to reduce the risk of infection.,"...when these men understood the risks, they changed their behavior."
149,149,Declining Cases,"A decline in monkeypox cases reported in North America and Europe, indicating a potential end to the outbreak.","These signs confirm what we have said consistently since the beginning: that with the right measures, this is an outbreak that can be stopped."
150,150,Vaccination Effectiveness,Public health interventions and community engagement are effective in tracking infections and preventing transmission.,"It's encouraging to see that in some countries in Europe and North America we now see a sustained decline in cases, demonstrating the effectiveness of public health interventions..."
151,151,Case Increase,"Article reports on the growing number of Mpox cases in Hawaii, including new cases and total counts by island.","The tally now includes 18 on Oahu, three on Hawaii island, two on Maui, and two non-residents on Kauai."
152,152,Eligibility Guidelines,"Article outlines the eligibility criteria for vaccination, including close contact with a person with Mpox, occupation, and certain medical conditions.",Vaccination eligibility for Hawaii residents includes: Close contact in the last 14 days with a person with known or suspected monkeypox infection;
153,153,Uncertainty and Unknowns,"Lack of knowledge about how well Jynneos vaccine protects against infection, transmission, and duration of protection.","Does the vaccine protect against infection, will it stop transmission, how long will the protection it offers last?"
154,154,Federal Funding Request,The Biden administration's request for $26.9 billion to combat Covid-19 and monkeypox.,"The White House seeks $22.4 billion for the domestic fight against Covid-19, $3.9 billion for domestic efforts to fight monkeypox"
155,155,Neurological Complications,"Refers to the potential brain-related problems associated with Mpox infection, such as seizure and encephalitis.",A small but noticeable proportion of people (2% to 3%) with monkeypox became very unwell and developed serious neurological problems...
156,156,Uncertainty in Research Findings,"Acknowledges the limitations of existing research on Mpox's neuropsychiatric symptoms, including lack of clear evidence and inconsistent reporting.",We don’t know what factors are driving these neuropsychiatric problems in people with monkeypox. We would want to know whether the strain of monkeypox virus and the severity of infection affects these problems.
157,157,Stigma and Psychological Distress,"Highlights the potential contribution of social stigma and physical symptoms (e.g., disfiguring skin rashes) to psychological distress in Mpox patients.",It’s also possible that the stigma people experience from monkeypox infection and the effect of disfiguring skin rashes could contribute to psychological distress such as low mood.
158,158,Government Intervention,Concerns about government involvement in personal lives and health decisions.,‘Any herb can clear that up’ another man insisted. Wilson also faced a barrage of rejections.
159,159,Healthcare Disparities,"Recognizing the disproportionate impact of monkeypox on Black men who have sex with men, particularly in the South.",The summer outbreak of the rare virus exposed how infectious diseases often exact a disproportionate toll on Black men who have sex with men...
160,160,First US Fatality,Reports of the first confirmed monkeypox death in the United States.,"It's believed to be the first U.S. fatality from the disease, officials announced Monday."
161,161,Immunocompromised Risk,Focus on individuals with weakened immune systems and their increased risk of severe monkeypox symptoms.,"The patient was severely immunocompromised and had been hospitalized, officials said."
